Policy ID,Policy Type,Coverage Amount,Premium Amount,Policy Start Date,Policy End Date,Payment Frequency,Status,Customer ID,,
POL08890801,Health,40288,409.06,2023-10-26,2026-02-09,Quarterly,Terminated,CUST28636367,,
POL66485877,Auto,12794,1489.47,2022-06-01,2031-11-08,Quarterly,Lapsed,CUST51541773,,
POL90601372,Life,200436,355.06,2023-11-25,2026-06-29,Quarterly,Lapsed,CUST40396385,,
POL35164229,Health,455139,496.88,2018-12-28,2021-06-07,Quarterly,Lapsed,CUST05322016,,
POL79738375,Life,302026,1121.56,2017-04-03,2018-06-25,Quarterly,Active,CUST98545861,,
POL78451531,Property,53776,1046.94,2018-09-27,2027-09-04,Monthly,Active,CUST10241954,,
POL84977364,Property,78831,769.2,2020-06-06,2029-02-04,Annually,Lapsed,CUST37271886,,
POL38205564,Life,92898,767.45,2020-05-10,2027-11-26,Monthly,Terminated,CUST63928747,,
POL20683862,Auto,367347,1902.79,2015-12-11,2020-05-07,Monthly,Active,CUST09928745,,
POL53660854,Life,403020,1832.76,2015-12-05,2023-10-23,Monthly,Active,CUST02233588,,
POL89180223,Life,318174,354.32,2019-09-01,2026-08-03,Monthly,Lapsed,CUST95007965,,
POL45095642,Property,371031,168.47,2024-09-11,2033-07-06,Annually,Lapsed,CUST63461471,,
POL48690249,Life,419289,1196.91,2023-02-22,2028-02-06,Monthly,Terminated,CUST80069974,,
POL27435543,Life,289690,272.06,2023-12-06,2028-04-01,Annually,Lapsed,CUST61594133,,
POL68371036,Life,323298,1179.53,2018-08-30,2022-07-13,Monthly,Lapsed,CUST95978496,,
POL39957242,Health,233463,175.64,2024-08-20,2034-06-01,Monthly,Lapsed,CUST99294379,,
POL90638463,Auto,227659,889.3,2024-02-16,2032-05-07,Annually,Active,CUST78768706,,
POL11199753,Auto,148627,683.7,2017-06-30,2024-05-09,Quarterly,Terminated,CUST70037973,,
POL36528332,Property,360154,1937.24,2019-07-06,2024-02-02,Quarterly,Active,CUST46123229,,
POL56889817,Life,224655,1747.2,2015-08-21,2016-10-04,Annually,Active,CUST65204686,,
POL08801313,Health,144047,1863.65,2020-07-12,2025-07-28,Annually,Lapsed,CUST84535664,,
POL68995549,Health,13801,1903.51,2018-02-21,2027-06-06,Quarterly,Active,CUST68459371,,
POL29536417,Life,249615,1896.6,2023-08-26,2025-03-15,Annually,Active,CUST43085227,,
POL53530629,Life,479508,836.65,2019-12-28,2025-04-26,Monthly,Terminated,CUST22227034,,
POL21160213,Property,14739,1307.28,2017-01-28,2023-01-26,Monthly,Terminated,CUST76994713,,
POL93493038,Life,317969,1053.68,2023-07-20,2024-08-26,Quarterly,Terminated,CUST40676066,,
POL19547339,Life,489496,1888.35,2017-06-16,2022-07-29,Annually,Terminated,CUST79978670,,
POL29207038,Auto,317844,549.44,2019-07-27,2025-10-07,Monthly,Active,CUST68206150,,
POL56397262,Auto,103644,1816.89,2023-09-17,2027-11-04,Quarterly,Active,CUST63254548,,
POL51164854,Property,220257,1763.07,2016-06-20,2018-04-19,Monthly,Lapsed,CUST41888458,,
POL76939080,Property,459527,1514.73,2022-05-19,2031-10-25,Monthly,Terminated,CUST24733880,,
POL78820382,Health,280979,352.99,2020-04-28,2023-12-16,Quarterly,Terminated,CUST19195679,,
POL84852929,Health,456183,1119.01,2019-11-16,2021-12-28,Monthly,Terminated,CUST24838453,,
POL46236340,Auto,409235,860.95,2015-04-30,2024-04-17,Quarterly,Lapsed,CUST05440655,,
POL82812519,Health,308150,1862.78,2016-03-21,2024-10-26,Quarterly,Terminated,CUST94468387,,
POL21798029,Auto,269646,1735.44,2015-10-22,2021-01-14,Annually,Active,CUST48998448,,
POL33833286,Property,215050,1067.31,2024-04-24,2028-01-06,Quarterly,Terminated,CUST44462533,,
POL81238149,Property,234301,1197.33,2017-09-22,2019-07-31,Annually,Terminated,CUST53659261,,
POL25740876,Health,409750,1574.53,2020-08-06,2025-09-26,Annually,Lapsed,CUST38427760,,
POL26074452,Life,310409,1798.63,2015-06-10,2024-09-10,Annually,Active,CUST27855580,,
POL76989054,Life,443937,210.75,2021-10-30,2026-06-22,Quarterly,Lapsed,CUST32262761,,
POL48662696,Property,251639,1319.07,2024-08-01,2031-08-25,Annually,Active,CUST82989625,,
POL85747478,Property,83388,1969.01,2022-01-09,2031-01-08,Monthly,Terminated,CUST02064269,,
POL31489077,Property,113738,1081.31,2018-05-01,2020-01-17,Quarterly,Terminated,CUST28258809,,
POL03785266,Health,240594,187.23,2021-02-09,2027-04-27,Annually,Terminated,CUST92087908,,
POL64965934,Life,348114,1929.09,2018-09-10,2020-10-17,Monthly,Active,CUST35063171,,
POL14267045,Health,324425,231.24,2019-08-06,2025-02-14,Monthly,Lapsed,CUST19811172,,
POL79867486,Life,482343,459.15,2018-01-09,2019-02-21,Quarterly,Lapsed,CUST44732504,,
POL21441518,Auto,126882,390.74,2023-08-20,2029-03-19,Annually,Terminated,CUST07265929,,
POL66208661,Auto,458961,922.33,2024-03-22,2026-02-24,Quarterly,Terminated,CUST78462039,,
POL46009613,Property,97102,538.33,2022-12-28,2024-09-19,Annually,Active,CUST17787169,,
POL42638741,Property,32254,284.96,2019-03-31,2021-06-23,Monthly,Lapsed,CUST53467151,,
POL88399292,Auto,246986,1558.72,2018-03-03,2024-04-08,Quarterly,Active,CUST63094148,,
POL06081128,Life,119446,877.29,2020-03-28,2022-09-11,Annually,Active,CUST26089492,,
POL96274415,Life,99047,1639.18,2018-02-24,2025-02-08,Quarterly,Terminated,CUST25199906,,
POL39707981,Property,373252,520.44,2019-04-11,2024-06-24,Annually,Active,CUST33662644,,
POL45684772,Health,331911,995.61,2016-12-18,2018-07-18,Monthly,Active,CUST98560807,,
POL21114405,Life,13223,1911.54,2016-06-19,2018-04-23,Annually,Lapsed,CUST55738104,,
POL59977317,Health,291201,579.75,2015-04-02,2024-07-02,Quarterly,Active,CUST53642388,,
POL50807231,Property,53520,1621.33,2019-06-18,2022-12-13,Quarterly,Terminated,CUST42041475,,
POL95336212,Auto,92129,1802.98,2020-10-21,2029-02-03,Monthly,Active,CUST30962816,,
POL02246754,Health,222775,820.71,2021-04-13,2025-08-17,Monthly,Terminated,CUST39217209,,
POL89873736,Property,124454,1581.39,2021-01-25,2027-10-13,Annually,Lapsed,CUST28258809,,
POL03710995,Health,106380,1632.28,2020-11-16,2026-06-13,Annually,Terminated,CUST91160900,,
POL77366966,Property,158722,1319.86,2016-03-05,2019-10-21,Monthly,Lapsed,CUST80277031,,
POL20381025,Health,110341,491.54,2024-01-04,2028-10-27,Quarterly,Lapsed,CUST50219386,,
POL61983383,Property,389568,1812.76,2023-07-25,2026-12-07,Quarterly,Active,CUST26743868,,
POL77573599,Auto,351551,1951.09,2021-05-17,2028-06-27,Annually,Lapsed,CUST32352924,,
POL04143745,Health,210177,165.46,2021-03-08,2028-10-18,Monthly,Lapsed,CUST89988266,,
POL03368809,Health,155210,981.54,2022-12-01,2025-07-30,Quarterly,Lapsed,CUST94848993,,
POL45634456,Life,39728,743.65,2019-10-07,2026-11-05,Monthly,Lapsed,CUST65104226,,
POL09445725,Health,453875,712.06,2017-01-07,2022-03-22,Quarterly,Lapsed,CUST06732104,,
POL26928183,Auto,261871,125.23,2020-08-12,2023-06-25,Quarterly,Terminated,CUST30357576,,
POL69652935,Property,277633,1236.86,2021-10-18,2028-02-05,Quarterly,Lapsed,CUST67296311,,
POL13413511,Health,45693,825.51,2017-09-19,2021-12-25,Quarterly,Lapsed,CUST40514613,,
POL57495535,Life,49897,1497.74,2015-09-13,2020-10-03,Quarterly,Lapsed,CUST79853995,,
POL32252482,Life,345204,1769.88,2024-08-15,2034-04-18,Annually,Terminated,CUST94848993,,
POL97931166,Auto,458657,1048.25,2021-01-21,2022-03-09,Annually,Terminated,CUST71891504,,
POL89983994,Life,320941,347,2016-12-11,2021-12-23,Quarterly,Terminated,CUST99682254,,
POL54056565,Health,459596,593.74,2024-05-29,2026-12-20,Quarterly,Terminated,CUST17818654,,
POL80143604,Auto,250228,412.5,2018-07-19,2020-10-18,Annually,Lapsed,CUST40529086,,
POL26020657,Life,362156,1302.19,2023-05-18,2031-09-17,Annually,Terminated,CUST01156039,,
POL92151932,Health,340571,1099.08,2019-12-24,2028-12-01,Quarterly,Lapsed,CUST82343141,,
POL38067049,Auto,100548,627.87,2023-12-07,2030-03-21,Annually,Active,CUST80772087,,
POL62323938,Property,416867,951.8,2018-04-13,2019-05-15,Annually,Active,CUST97214840,,
POL48112744,Property,83665,1197.77,2016-05-09,2023-10-26,Quarterly,Terminated,CUST71790707,,
POL93562061,Auto,166946,985.59,2022-01-10,2024-11-05,Monthly,Lapsed,CUST15258611,,
POL07736550,Auto,66983,1298.56,2023-11-13,2026-10-03,Annually,Active,CUST91280167,,
POL03121117,Auto,126360,737.36,2016-09-24,2019-09-28,Monthly,Terminated,CUST73210197,,
POL16359450,Property,317170,462.56,2016-12-13,2020-11-13,Monthly,Lapsed,CUST89250160,,
POL62665179,Health,123001,1077.9,2022-08-19,2028-06-01,Quarterly,Lapsed,CUST53467151,,
POL12156543,Life,58071,524.97,2019-07-28,2025-12-15,Monthly,Lapsed,CUST03313167,,
POL64808892,Property,488665,1428.68,2017-05-27,2022-09-21,Monthly,Lapsed,CUST05573540,,
POL73876399,Health,68734,661.85,2023-06-03,2031-12-29,Quarterly,Lapsed,CUST98331725,,
POL34826521,Auto,482922,1084.74,2018-03-26,2027-04-01,Annually,Lapsed,CUST80482237,,
POL55857160,Health,354193,1654.59,2020-09-12,2029-07-05,Quarterly,Terminated,CUST23094202,,
POL90480498,Property,377176,1336.73,2017-02-16,2024-02-23,Annually,Lapsed,CUST15223833,,
POL06015860,Auto,469118,634.07,2020-02-04,2029-08-17,Monthly,Active,CUST98979035,,
POL84892449,Health,341820,592.71,2017-01-25,2019-08-08,Annually,Terminated,CUST25888759,,
POL19560921,Property,270125,904.07,2019-09-14,2021-01-03,Monthly,Terminated,CUST65451880,,
POL59147290,Life,129365,123.42,2015-09-06,2025-03-02,Quarterly,Lapsed,CUST28505104,,
POL69476490,Auto,346751,1364.7,2015-06-02,2017-03-23,Monthly,Active,CUST82201328,,
POL40270611,Property,290328,467.19,2017-01-22,2018-07-09,Quarterly,Terminated,CUST78457687,,
POL22321187,Health,242943,1277.07,2021-11-08,2027-01-06,Monthly,Terminated,CUST05954822,,
POL77506531,Auto,70477,1805.63,2020-03-16,2027-07-13,Quarterly,Lapsed,CUST50829047,,
POL07976771,Life,287769,1236.03,2022-10-17,2030-06-05,Monthly,Terminated,CUST82696043,,
POL45468849,Health,374999,986.91,2021-01-03,2030-04-11,Monthly,Terminated,CUST62906519,,
POL63051562,Auto,11665,234.1,2015-06-16,2025-05-28,Monthly,Lapsed,CUST75656240,,
POL94870283,Life,274905,335.45,2019-03-11,2026-09-12,Monthly,Lapsed,CUST44835273,,
POL38182158,Life,364159,660.58,2021-02-28,2026-02-18,Monthly,Terminated,CUST10189147,,
POL36090611,Health,24555,107.03,2016-07-26,2023-01-30,Quarterly,Terminated,CUST56167007,,
POL82098917,Life,175444,1788.24,2021-02-22,2030-05-16,Monthly,Lapsed,CUST98147889,,
POL99568401,Property,107753,1391.49,2015-08-03,2019-10-04,Monthly,Terminated,CUST73072285,,
POL79130344,Property,169512,359.11,2020-06-02,2023-02-18,Quarterly,Active,CUST38361358,,
POL49188779,Auto,313459,142.51,2015-01-14,2024-09-20,Quarterly,Terminated,CUST72249795,,
POL98118247,Health,72953,1915,2017-08-24,2024-09-05,Annually,Lapsed,CUST67521046,,
POL43888562,Auto,475627,285.32,2016-11-17,2020-01-27,Quarterly,Active,CUST89924604,,
POL79654180,Life,459884,891.1,2018-01-19,2026-10-23,Annually,Terminated,CUST99163226,,
POL43201050,Health,399633,1612.96,2020-05-19,2026-09-13,Annually,Active,CUST82112721,,
POL64164417,Health,179382,916.38,2020-07-17,2025-08-14,Quarterly,Terminated,CUST60126456,,
POL56909701,Health,202196,789.61,2024-01-22,2029-06-25,Annually,Lapsed,CUST27529673,,
POL04312649,Auto,303601,1811.05,2018-06-27,2019-12-03,Monthly,Terminated,CUST36410265,,
POL52704029,Life,342917,197.65,2019-01-16,2022-06-04,Annually,Lapsed,CUST31891472,,
POL99187964,Property,413700,1606.85,2016-10-17,2020-11-21,Annually,Active,CUST86161063,,
POL09346416,Life,76241,1260.63,2016-01-01,2017-11-07,Quarterly,Active,CUST84970191,,
POL33880190,Property,423049,1631.99,2024-11-30,2027-07-01,Annually,Lapsed,CUST01712934,,
POL49366333,Property,265335,1521.04,2020-08-13,2024-12-16,Monthly,Lapsed,CUST38016023,,
POL88774190,Property,365694,1812.36,2017-05-16,2021-05-30,Monthly,Terminated,CUST78208538,,
POL46303313,Health,198579,820.77,2015-03-29,2025-03-20,Quarterly,Active,CUST55667061,,
POL72761852,Auto,275574,814.6,2018-12-09,2023-04-07,Annually,Active,CUST98599943,,
POL78499068,Property,264154,1133.33,2018-09-25,2027-12-25,Quarterly,Terminated,CUST22366291,,
POL46591798,Property,91026,1979.35,2015-05-21,2022-03-19,Annually,Lapsed,CUST59590365,,
POL56917671,Property,111475,297.75,2020-09-05,2022-02-15,Monthly,Active,CUST38446135,,
POL26477746,Life,147592,1544.91,2022-01-20,2028-01-23,Quarterly,Active,CUST40987292,,
POL83870465,Property,492391,935,2018-07-31,2020-01-02,Monthly,Terminated,CUST86319543,,
POL07767138,Property,421590,1699.49,2023-12-10,2028-07-29,Monthly,Active,CUST08620277,,
POL90011725,Auto,108180,776.57,2017-12-14,2026-12-15,Annually,Terminated,CUST91857651,,
POL71239767,Property,197690,1466.52,2022-03-24,2029-11-10,Quarterly,Lapsed,CUST80650317,,
POL91891378,Health,398082,210.96,2022-04-30,2032-03-09,Annually,Terminated,CUST96630079,,
POL46142999,Life,205386,1697.1,2021-03-20,2026-12-11,Monthly,Terminated,CUST84694293,,
POL20839843,Property,372799,713.29,2017-12-20,2027-09-01,Quarterly,Terminated,CUST53758771,,
POL28045007,Health,124885,1523.36,2018-03-04,2019-06-24,Monthly,Active,CUST41151561,,
POL82823553,Life,245335,657.89,2016-08-21,2024-05-27,Annually,Active,CUST35883996,,
POL92853225,Life,260072,1679.89,2023-01-11,2024-11-07,Monthly,Lapsed,CUST39825791,,
POL67872849,Property,387477,789.8,2020-05-11,2024-08-02,Annually,Terminated,CUST33350545,,
POL51108570,Life,370483,1178.59,2018-01-22,2026-01-08,Quarterly,Active,CUST89932416,,
POL52952594,Property,254016,1467.47,2019-12-28,2022-09-05,Annually,Lapsed,CUST93366412,,
POL20348552,Life,334606,824.98,2019-12-18,2028-02-21,Quarterly,Terminated,CUST21236149,,
POL40907312,Property,13494,1751.94,2022-06-27,2024-09-28,Monthly,Lapsed,CUST80919849,,
POL69634824,Life,215110,1354.99,2019-02-06,2027-04-12,Annually,Lapsed,CUST59144251,,
POL63187776,Health,201690,806.75,2023-04-04,2025-11-24,Annually,Active,CUST46080578,,
POL92218718,Auto,250209,1670.7,2020-01-18,2026-12-03,Annually,Terminated,CUST38458880,,
POL15902669,Auto,267414,845.55,2023-05-09,2032-03-11,Monthly,Terminated,CUST07355992,,
POL17105339,Property,324587,1368.69,2018-04-10,2026-04-15,Annually,Terminated,CUST23587687,,
POL67379824,Property,406101,1945.33,2020-05-27,2022-07-20,Annually,Terminated,CUST76193646,,
POL33080881,Property,429833,1099.02,2018-07-10,2022-08-21,Annually,Active,CUST08493059,,
POL26177163,Life,25080,201.24,2018-05-10,2027-06-23,Quarterly,Lapsed,CUST49174127,,
POL92289899,Auto,467870,450.93,2015-12-13,2025-04-04,Annually,Terminated,CUST23959385,,
POL53317705,Health,81015,1412.79,2015-09-07,2022-01-11,Annually,Terminated,CUST63841241,,
POL36981616,Auto,91776,666.35,2024-12-13,2032-10-04,Monthly,Lapsed,CUST79327356,,
POL56127428,Life,165065,522.45,2023-05-24,2030-01-20,Monthly,Terminated,CUST38994996,,
POL77789737,Life,130641,787.57,2021-05-19,2023-04-13,Annually,Active,CUST47568893,,
POL70127485,Property,114404,537.45,2021-09-02,2026-08-26,Annually,Lapsed,CUST97172366,,
POL60505158,Life,74379,382.69,2019-05-19,2027-10-24,Monthly,Active,CUST06002600,,
POL07319671,Life,361240,1916.28,2021-11-10,2026-07-11,Quarterly,Terminated,CUST06392747,,
POL20670070,Auto,31765,1449.65,2019-06-28,2021-05-02,Annually,Terminated,CUST03789210,,
POL49532703,Auto,361339,141.1,2016-05-13,2022-04-11,Monthly,Terminated,CUST65839668,,
POL23016733,Auto,499877,599.87,2024-01-26,2030-06-12,Quarterly,Lapsed,CUST44539389,,
POL40922873,Health,355452,442.03,2023-07-16,2031-04-18,Monthly,Lapsed,CUST89978032,,
POL53156329,Health,132528,1705.3,2019-08-11,2027-10-22,Monthly,Lapsed,CUST85950802,,
POL28937515,Life,95419,502.12,2015-08-25,2016-09-20,Monthly,Lapsed,CUST72431417,,
POL12104163,Life,72794,940.1,2018-10-20,2021-05-29,Quarterly,Terminated,CUST60958047,,
POL13187754,Health,448911,1283.51,2020-09-28,2029-05-21,Quarterly,Active,CUST50835416,,
POL46564609,Health,199691,897.35,2020-11-10,2029-04-16,Monthly,Lapsed,CUST69457285,,
POL15165645,Life,284426,1924.25,2017-07-21,2024-11-18,Monthly,Lapsed,CUST45192084,,
POL93327871,Life,121588,1622.98,2020-09-19,2024-03-30,Monthly,Lapsed,CUST12401788,,
POL12291756,Property,496696,763.83,2023-06-07,2029-01-27,Quarterly,Terminated,CUST15729440,,
POL15978608,Property,269403,679.7,2022-10-06,2025-07-09,Annually,Active,CUST12667505,,
POL67053864,Health,99375,309.28,2021-07-18,2023-12-28,Annually,Active,CUST00971282,,
POL02913059,Property,459891,1512.84,2020-10-22,2030-07-18,Monthly,Terminated,CUST30511648,,
POL99518262,Life,106408,1599.03,2021-04-24,2024-09-11,Monthly,Active,CUST78652368,,
POL49457170,Property,190778,959.1,2016-11-29,2022-03-16,Quarterly,Terminated,CUST77682848,,
POL70701103,Auto,486988,1793.77,2020-11-01,2028-04-10,Monthly,Terminated,CUST32639304,,
POL04847102,Health,35183,1482.68,2017-04-27,2022-02-12,Quarterly,Terminated,CUST81406135,,
POL72715668,Property,47176,1555.69,2021-06-29,2028-05-02,Quarterly,Lapsed,CUST40417111,,
POL30815147,Property,168794,1138.78,2021-07-09,2023-07-31,Quarterly,Lapsed,CUST53636696,,
POL85997412,Life,348949,541.92,2016-03-21,2021-10-12,Quarterly,Terminated,CUST51648922,,
POL30420925,Life,299524,1831.27,2019-10-19,2028-05-12,Monthly,Terminated,CUST67038482,,
POL26751534,Health,17678,1751.15,2024-12-19,2029-09-23,Quarterly,Lapsed,CUST61536104,,
POL15097723,Property,365243,1587.47,2018-07-02,2024-03-15,Annually,Terminated,CUST83482447,,
POL81404875,Life,152457,652.88,2021-10-25,2024-11-05,Quarterly,Terminated,CUST35077184,,
POL31358869,Health,102147,1842.32,2017-11-28,2025-01-17,Annually,Active,CUST58555588,,
POL40579539,Life,208193,1213.47,2023-06-19,2032-12-05,Monthly,Terminated,CUST06182214,,
POL07342539,Health,409709,102.35,2018-12-11,2028-10-19,Monthly,Lapsed,CUST47360274,,
POL39946670,Auto,143312,200.69,2024-01-12,2028-03-24,Monthly,Lapsed,CUST90124222,,
POL63474388,Property,341218,104.07,2017-08-20,2023-10-12,Monthly,Lapsed,CUST93762757,,
POL65038532,Health,481718,494.74,2018-10-10,2028-02-13,Annually,Active,CUST35260349,,
POL88167849,Property,212301,739.88,2018-11-28,2023-11-19,Monthly,Terminated,CUST81290264,,
POL10148217,Auto,132910,1300.13,2015-10-08,2019-04-04,Quarterly,Terminated,CUST10496213,,
POL76204779,Life,417588,1375.68,2024-03-26,2025-09-11,Annually,Lapsed,CUST59559298,,
POL24220210,Life,312160,1083.41,2015-04-30,2023-07-17,Annually,Terminated,CUST58169296,,
POL12716498,Auto,207978,227.05,2024-08-30,2026-11-27,Quarterly,Active,CUST11207741,,
POL37005180,Life,413282,633.43,2017-12-31,2021-01-03,Annually,Active,CUST42396979,,
POL33049382,Life,210953,198.31,2023-03-22,2031-11-11,Monthly,Terminated,CUST09948159,,
POL95337810,Health,164178,1629.38,2020-05-24,2024-04-17,Annually,Active,CUST13436080,,
POL23308648,Life,137969,730.52,2016-02-17,2024-10-03,Quarterly,Terminated,CUST66439456,,
POL02312997,Auto,408787,1232.63,2020-03-22,2023-08-04,Quarterly,Lapsed,CUST56374821,,
POL77315241,Property,446102,1139.06,2016-04-20,2017-04-26,Monthly,Active,CUST98331108,,
POL47115213,Auto,420087,314.51,2023-12-27,2031-04-12,Quarterly,Terminated,CUST28778699,,
POL49874464,Health,154492,1920.07,2022-02-22,2025-04-12,Annually,Active,CUST11864773,,
POL79096614,Auto,367298,1853.83,2016-10-05,2025-10-04,Annually,Terminated,CUST10876445,,
POL76421550,Property,243458,1791.71,2023-08-15,2027-09-18,Quarterly,Active,CUST14709344,,
POL74615400,Life,335682,1263.4,2016-10-31,2025-10-08,Quarterly,Lapsed,CUST79013283,,
POL61858865,Life,322656,892.8,2022-11-10,2027-12-12,Annually,Lapsed,CUST96159281,,
POL32001025,Life,105607,1813.45,2017-12-26,2019-10-19,Annually,Terminated,CUST58339732,,
POL29477661,Health,427737,1207.45,2023-08-13,2030-07-08,Quarterly,Lapsed,CUST70199024,,
POL60275519,Auto,139389,1125.07,2017-10-20,2024-02-12,Monthly,Lapsed,CUST08627957,,
POL83784659,Property,209715,955.68,2017-06-24,2025-01-15,Monthly,Terminated,CUST87605942,,
POL12763634,Life,143133,1758.67,2019-08-12,2023-07-11,Monthly,Lapsed,CUST05440655,,
POL30600963,Health,479454,705.2,2017-10-30,2020-02-06,Annually,Lapsed,CUST27343337,,
POL34319547,Life,344292,615.07,2019-05-01,2020-06-13,Monthly,Terminated,CUST37934673,,
POL21879187,Auto,80626,760.87,2024-06-01,2031-11-26,Monthly,Active,CUST18010105,,
POL07768534,Life,180262,1689.82,2021-06-28,2025-01-13,Quarterly,Lapsed,CUST36507345,,
POL72485507,Health,317192,1756.78,2019-09-22,2025-05-04,Quarterly,Active,CUST88248320,,
POL25208231,Life,152373,872.09,2017-09-06,2019-03-21,Annually,Terminated,CUST67171307,,
POL01332140,Health,105691,1460.08,2017-03-31,2026-09-02,Quarterly,Active,CUST06363360,,
POL47517699,Health,302897,1118.41,2018-08-17,2023-03-07,Monthly,Terminated,CUST82861470,,
POL58128936,Health,418176,377,2024-04-21,2028-05-25,Quarterly,Lapsed,CUST19543662,,
POL32198260,Auto,23152,1285.48,2018-06-20,2027-09-11,Monthly,Terminated,CUST00125540,,
POL84577702,Auto,272147,232.35,2015-07-04,2020-08-19,Quarterly,Active,CUST14823336,,
POL57207157,Property,411698,583.34,2021-04-13,2027-09-28,Annually,Active,CUST12032876,,
POL13544300,Life,129871,1981.4,2017-02-25,2022-11-14,Quarterly,Lapsed,CUST84108163,,
POL45190683,Life,129807,1231.09,2016-10-12,2023-11-12,Monthly,Lapsed,CUST62512574,,
POL21669430,Auto,28010,192.25,2018-06-09,2028-02-12,Quarterly,Lapsed,CUST93700561,,
POL28550299,Property,484580,1105.26,2018-10-01,2021-12-19,Quarterly,Lapsed,CUST12072688,,
POL23811097,Property,495857,651.69,2020-03-27,2025-06-02,Annually,Terminated,CUST72431417,,
POL28303229,Property,275100,1591.91,2016-06-24,2021-08-30,Quarterly,Lapsed,CUST32626732,,
POL52933183,Auto,99114,1596.17,2019-12-10,2022-09-01,Quarterly,Terminated,CUST75487537,,
POL03671194,Health,342550,1072.89,2024-11-22,2027-09-13,Monthly,Terminated,CUST92205452,,
POL87464804,Life,167823,1857.75,2023-02-01,2026-12-07,Quarterly,Active,CUST94275292,,
POL61065772,Property,442609,1625.66,2018-02-16,2022-04-11,Annually,Lapsed,CUST44342472,,
POL67096541,Life,37638,1486.22,2017-12-28,2025-01-11,Quarterly,Terminated,CUST79013283,,
POL48574800,Health,313222,1902.49,2017-06-30,2025-01-03,Annually,Active,CUST60334028,,
POL20367982,Health,245762,1193.15,2020-07-18,2030-01-05,Quarterly,Lapsed,CUST64482109,,
POL01530992,Life,233168,1707.34,2023-12-02,2028-08-11,Annually,Lapsed,CUST32639304,,
POL60672344,Auto,85463,961.64,2019-07-25,2029-06-05,Annually,Active,CUST83770928,,
POL36866670,Health,335809,780.87,2016-08-04,2018-06-09,Annually,Active,CUST55708223,,
POL75237627,Auto,460170,941.47,2021-08-02,2028-04-27,Annually,Lapsed,CUST40040643,,
POL55949918,Life,380478,1847.14,2023-10-05,2027-05-31,Quarterly,Lapsed,CUST06392747,,
POL83365380,Life,410400,1633.11,2016-05-19,2017-06-21,Monthly,Terminated,CUST20900154,,
POL22399101,Property,360932,1940.88,2016-08-26,2024-04-26,Annually,Active,CUST83518933,,
POL81014728,Life,65543,834.52,2019-01-03,2020-12-13,Monthly,Active,CUST99261655,,
POL05711134,Life,183991,1735.23,2022-01-03,2030-03-07,Quarterly,Terminated,CUST20900154,,
POL01930886,Health,185357,1562.57,2016-08-10,2018-07-15,Quarterly,Lapsed,CUST69194840,,
POL02268206,Health,476994,512.7,2015-10-02,2020-08-05,Quarterly,Terminated,CUST12032876,,
POL96624216,Health,49647,856.04,2023-04-26,2024-08-13,Monthly,Lapsed,CUST28007772,,
POL48183700,Auto,269370,1339.23,2020-06-15,2023-11-11,Quarterly,Lapsed,CUST51342866,,
POL08689656,Health,301024,1257.52,2019-06-14,2026-12-10,Quarterly,Terminated,CUST95978496,,
POL98091818,Property,202271,113.6,2020-09-16,2027-12-08,Annually,Lapsed,CUST24118417,,
POL52467400,Life,284757,1029.67,2019-06-09,2022-04-22,Annually,Lapsed,CUST01574970,,
POL77410789,Health,231973,303.72,2015-01-20,2021-05-17,Quarterly,Active,CUST54853959,,
POL39137077,Property,308420,882.29,2024-06-14,2027-01-25,Monthly,Lapsed,CUST65063643,,
POL69765567,Health,34651,919.73,2022-03-26,2032-03-08,Annually,Lapsed,CUST19968931,,
POL04272099,Auto,464281,899.94,2016-11-27,2020-07-19,Monthly,Active,CUST29646268,,
POL96779565,Auto,227680,402.5,2017-01-12,2025-10-28,Quarterly,Active,CUST21995908,,
POL04331178,Auto,144292,1583.08,2015-10-29,2018-03-06,Quarterly,Active,CUST45840087,,
POL25573830,Life,361925,1465.2,2021-11-19,2028-10-01,Annually,Active,CUST40026003,,
POL22879070,Health,178510,1773.65,2020-09-23,2022-09-25,Monthly,Active,CUST86161063,,
POL05156789,Life,85576,795.74,2017-08-29,2019-11-09,Quarterly,Lapsed,CUST73036111,,
POL97318899,Health,296382,742.84,2023-12-23,2032-12-03,Monthly,Active,CUST57146043,,
POL54295320,Life,247410,1844.12,2016-04-21,2018-08-04,Quarterly,Lapsed,CUST92174847,,
POL24211829,Life,215953,1998.9,2020-12-23,2029-11-18,Annually,Terminated,CUST53692233,,
POL53216568,Auto,168158,913.79,2024-10-23,2034-06-09,Monthly,Lapsed,CUST29322950,,
POL55243233,Auto,363332,1100.77,2017-12-27,2027-09-16,Monthly,Terminated,CUST38035904,,
POL89882153,Property,86144,299.69,2021-04-04,2022-10-25,Quarterly,Terminated,CUST93615565,,
POL15821242,Auto,291295,1170.03,2016-12-24,2026-10-11,Annually,Active,CUST99574693,,
POL55302444,Property,466351,262.86,2017-09-16,2021-08-14,Monthly,Active,CUST79918262,,
POL75483438,Property,314484,1429.49,2022-06-28,2025-06-05,Annually,Terminated,CUST66999929,,
POL41056885,Health,11444,1633.77,2022-01-07,2025-04-11,Monthly,Active,CUST02064269,,
POL08751578,Life,309060,774.91,2017-12-13,2019-12-16,Quarterly,Active,CUST23610376,,
POL85425957,Health,206738,222.91,2020-03-16,2024-08-29,Monthly,Terminated,CUST74372166,,
