Agent ID,Renewal Status,Policy Discounts,Risk Score,Policy ID
AGT05786447,Renewed,37,14,POL13370317
AGT62887034,Pending,37,86,POL72506078
AGT66397770,Renewed,42,96,POL15788896
AGT46499978,Pending,19,66,POL87257642
AGT10483951,Not Renewed,10,73,POL10754194
AGT31731786,Renewed,34,52,POL02543918
AGT21243522,Renewed,34,20,POL80996561
AGT33921083,Pending,0,49,POL82172592
AGT55520886,Not Renewed,17,9,POL70577511
AGT89000923,Not Renewed,3,6,POL00677715
AGT26075329,Pending,34,71,POL65284354
AGT54199915,Pending,19,23,POL29054681
AGT29732137,Not Renewed,14,15,POL56020599
AGT01638698,Pending,22,4,POL02586223
AGT85797099,Renewed,31,83,POL36565456
AGT01801260,Pending,42,21,POL73721889
AGT86981507,Not Renewed,10,97,POL42862009
AGT98272042,Pending,26,5,POL91109221
AGT34197406,Pending,8,2,POL99391697
AGT94719474,Pending,46,72,POL07501738
AGT46340902,Renewed,22,92,POL54824622
AGT20076003,Renewed,7,24,POL74809100
AGT52971870,Not Renewed,30,5,POL05204154
AGT05908308,Renewed,48,43,POL36096008
AGT03900481,Pending,5,12,POL92010970
AGT81873311,Not Renewed,47,95,POL26112372
AGT35475823,Pending,19,35,POL33632852
AGT28935042,Not Renewed,34,89,POL29315631
AGT30379091,Renewed,36,14,POL87150455
AGT27946126,Renewed,6,34,POL96387470
AGT43752010,Not Renewed,5,22,POL23926652
AGT53267607,Pending,26,16,POL17904439
AGT74825085,Renewed,24,56,POL38419825
AGT84378019,Not Renewed,34,3,POL76405797
AGT74815445,Not Renewed,4,37,POL21911131
AGT98788369,Renewed,47,76,POL92252183
AGT73509341,Not Renewed,13,43,POL05753582
AGT77700590,Renewed,0,18,POL26903492
AGT73455107,Renewed,34,5,POL31299981
AGT78939627,Pending,39,91,POL01888346
AGT65070500,Not Renewed,37,26,POL87558325
AGT79101510,Pending,14,22,POL09367565
AGT78669345,Not Renewed,32,31,POL66521872
AGT26321051,Renewed,5,11,POL95876138
AGT50732126,Not Renewed,13,79,POL98940145
AGT70776978,Pending,17,44,POL20706800
AGT79814945,Pending,39,30,POL62363777
AGT66401015,Not Renewed,44,100,POL30056651
AGT25520910,Renewed,32,41,POL48483047
AGT41062265,Pending,42,69,POL87901300
AGT80365085,Pending,34,72,POL23666757
AGT78764713,Renewed,8,11,POL17108285
AGT76054665,Not Renewed,16,6,POL29859333
AGT88668143,Pending,26,33,POL45632663
AGT43978373,Not Renewed,37,62,POL95105211
AGT94478998,Renewed,30,14,POL86241971
AGT44405059,Renewed,25,59,POL88449964
AGT98827293,Renewed,32,46,POL91221786
AGT19338702,Not Renewed,36,13,POL81320794
AGT28453933,Not Renewed,16,99,POL51364019
AGT01663697,Pending,39,83,POL31936663
AGT45229996,Renewed,19,77,POL26252695
AGT23800009,Not Renewed,37,50,POL75928270
AGT96333263,Renewed,15,68,POL84662646
AGT92018684,Pending,0,73,POL07640768
AGT40409503,Renewed,42,47,POL79406105
AGT64230253,Renewed,12,85,POL87414724
AGT98096158,Not Renewed,23,23,POL61963636
AGT77397428,Renewed,26,84,POL20036492
AGT10465463,Not Renewed,6,83,POL34350307
AGT25857928,Pending,40,79,POL07383816
AGT76375588,Not Renewed,37,4,POL05276181
AGT92715073,Renewed,28,93,POL01056651
AGT34872219,Pending,41,46,POL57167179
AGT64256375,Not Renewed,34,27,POL26041216
AGT58666448,Renewed,39,94,POL99892267
AGT04189162,Not Renewed,34,3,POL68220534
AGT46298837,Not Renewed,28,56,POL43928223
AGT23059032,Pending,15,31,POL53360521
AGT88140816,Pending,12,59,POL55583522
AGT56473085,Pending,17,98,POL23406460
AGT00655047,Renewed,35,48,POL46108222
AGT05947808,Pending,2,42,POL34185139
AGT85546084,Not Renewed,7,40,POL18009742
AGT91588051,Not Renewed,24,57,POL01410101
AGT03937527,Not Renewed,34,35,POL25999716
AGT95358394,Not Renewed,49,41,POL58829430
AGT05712396,Not Renewed,34,20,POL35621374
AGT51176997,Renewed,6,81,POL91591924
AGT90193843,Pending,44,89,POL31141839
AGT01981470,Not Renewed,49,62,POL53495954
AGT21438300,Pending,37,63,POL86577388
AGT68890964,Renewed,33,51,POL93128506
AGT75139568,Renewed,47,9,POL99329003
AGT74129792,Not Renewed,15,13,POL72353827
AGT95325354,Renewed,48,38,POL74405232
AGT25441460,Not Renewed,4,95,POL79712563
AGT04401528,Not Renewed,43,24,POL59054638
AGT85798447,Pending,35,95,POL11386721
AGT37992453,Pending,18,40,POL27080806
AGT05543623,Not Renewed,35,70,POL67346720
AGT28436306,Renewed,48,61,POL21533048
AGT83981294,Renewed,3,14,POL87314266
AGT39121639,Renewed,5,17,POL40501212
AGT84603592,Renewed,15,57,POL77404434
AGT56088274,Not Renewed,26,50,POL21785501
AGT55741527,Renewed,35,41,POL01637103
AGT21152792,Renewed,36,47,POL37640614
AGT67342635,Not Renewed,21,83,POL38779532
AGT68661702,Not Renewed,36,53,POL93532453
AGT06413729,Not Renewed,5,68,POL32964708
AGT80921407,Renewed,13,65,POL60083626
AGT26754885,Pending,21,20,POL37953515
AGT49192028,Not Renewed,50,46,POL30949010
AGT17604560,Renewed,41,2,POL89850916
AGT86078442,Pending,5,24,POL42233188
AGT15121985,Not Renewed,8,49,POL18840628
AGT73560306,Pending,42,88,POL97879638
AGT84175927,Pending,39,78,POL98458382
AGT94218542,Pending,10,51,POL99307499
AGT52566310,Not Renewed,38,52,POL12388538
AGT00462765,Renewed,8,18,POL38913667
AGT95851953,Renewed,11,11,POL66729277
AGT63953893,Not Renewed,46,32,POL04984888
AGT48332968,Not Renewed,10,49,POL04461844
AGT26243082,Pending,9,74,POL02953987
AGT42794762,Renewed,7,68,POL45794212
AGT50738988,Renewed,25,9,POL12021840
AGT80254709,Not Renewed,8,87,POL80902857
AGT12774099,Not Renewed,5,84,POL30067784
AGT95899781,Not Renewed,35,42,POL97395232
AGT71503163,Not Renewed,49,14,POL16232154
AGT06426487,Renewed,29,38,POL40650840
AGT22213920,Not Renewed,14,35,POL35241420
AGT45353150,Renewed,33,90,POL55451317
AGT92940042,Renewed,14,13,POL64599261
AGT07995245,Pending,39,57,POL16497483
AGT28056586,Not Renewed,50,56,POL44197274
AGT45277325,Not Renewed,32,60,POL79351007
AGT62818751,Not Renewed,23,87,POL85421445
AGT13008474,Renewed,45,87,POL91301577
AGT59473242,Renewed,18,77,POL96350038
AGT50896583,Not Renewed,24,14,POL83891543
AGT27206385,Pending,15,45,POL61910551
AGT07225527,Not Renewed,1,22,POL07172279
AGT47528065,Pending,41,73,POL40635868
AGT15907740,Renewed,45,35,POL86871699
AGT30472128,Renewed,44,66,POL98972486
AGT97793845,Not Renewed,17,75,POL10353696
AGT44415844,Pending,39,13,POL19826464
AGT58189782,Pending,47,100,POL43365109
AGT29310288,Pending,14,16,POL34839804
AGT06015380,Renewed,8,36,POL22478374
AGT92677307,Pending,3,27,POL77820339
AGT55259696,Pending,42,21,POL19433237
AGT01957569,Renewed,23,80,POL76932868
AGT04681877,Not Renewed,15,10,POL41761083
AGT77386119,Not Renewed,20,47,POL64386769
AGT89692178,Not Renewed,39,45,POL59120668
AGT92890644,Not Renewed,0,53,POL21757183
AGT88379459,Renewed,47,43,POL28084608
AGT29237397,Pending,8,14,POL45824623
AGT07792554,Pending,15,95,POL31252194
AGT06628477,Renewed,31,68,POL40654062
AGT43587384,Pending,42,27,POL68041288
AGT61277403,Pending,16,91,POL66896232
AGT03755562,Pending,22,54,POL66215442
AGT65022740,Not Renewed,41,60,POL53985837
AGT61763502,Not Renewed,15,55,POL26196435
AGT59733849,Renewed,29,46,POL06372967
AGT09670936,Renewed,15,62,POL24776392
AGT35711328,Not Renewed,14,20,POL79861668
AGT77661129,Not Renewed,18,85,POL30398822
AGT70449713,Pending,7,70,POL41941398
AGT44034733,Not Renewed,31,22,POL54158213
AGT23143667,Not Renewed,3,28,POL25767436
AGT78643174,Pending,48,9,POL90801398
AGT00307009,Renewed,0,7,POL84935714
AGT41159010,Renewed,20,33,POL29870683
AGT57746002,Pending,12,73,POL86204804
AGT63403615,Pending,4,51,POL07331096
AGT53492924,Not Renewed,40,62,POL47491023
AGT27033456,Pending,7,52,POL78988005
AGT88787740,Pending,11,8,POL20597369
AGT20551931,Not Renewed,12,2,POL22925819
AGT30250830,Pending,10,82,POL99353162
AGT68157356,Not Renewed,37,92,POL67753905
AGT54576781,Pending,11,85,POL71493130
AGT91499770,Pending,45,5,POL69222840
AGT98390378,Pending,50,48,POL77822153
AGT45768219,Pending,13,98,POL84330752
AGT98582772,Pending,48,1,POL81049657
AGT69675361,Renewed,34,87,POL09607120
AGT81439591,Not Renewed,20,46,POL63517748
AGT66271858,Renewed,8,29,POL22866808
AGT60184229,Pending,4,95,POL55402770
AGT52554533,Renewed,34,8,POL14673138
AGT70123375,Not Renewed,2,78,POL32850811
AGT88384506,Pending,0,67,POL36376405
AGT89390357,Not Renewed,10,54,POL57116310
AGT45937340,Renewed,39,66,POL80995541
AGT66162294,Renewed,12,69,POL22918011
AGT49464965,Renewed,20,26,POL99343551
AGT04943393,Renewed,40,60,POL95686589
AGT64442581,Pending,18,79,POL74488580
AGT25680570,Pending,24,43,POL03845436
AGT34862420,Not Renewed,36,99,POL49082754
AGT72008857,Renewed,36,15,POL79206629
AGT49134544,Renewed,38,74,POL48220371
AGT25529286,Pending,48,86,POL02880116
AGT42313803,Not Renewed,2,79,POL17982019
AGT63801581,Renewed,23,44,POL59802127
AGT42203449,Pending,12,71,POL82513265
AGT90061690,Renewed,21,78,POL07546280
AGT42842137,Renewed,30,36,POL46514343
AGT94826984,Pending,29,94,POL45081491
AGT00030139,Pending,38,83,POL74142880
AGT69668172,Renewed,9,76,POL84931770
AGT66510570,Renewed,28,49,POL52796576
AGT27524601,Renewed,30,41,POL98526256
AGT75280940,Renewed,49,5,POL15046507
AGT19493223,Not Renewed,33,27,POL34670863
AGT93487416,Not Renewed,39,92,POL82697180
AGT43611620,Renewed,26,9,POL79014248
AGT50427641,Pending,48,84,POL11173408
AGT66324975,Renewed,16,14,POL20801175
AGT82467255,Not Renewed,40,86,POL26361547
AGT94644729,Pending,1,28,POL48790077
AGT09425482,Not Renewed,21,23,POL27343652
AGT23121075,Renewed,17,19,POL52182081
AGT40004865,Not Renewed,43,70,POL63375937
AGT79255771,Not Renewed,38,88,POL39337647
AGT00029799,Not Renewed,4,26,POL78314103
AGT85867026,Not Renewed,12,42,POL97881363
AGT23367735,Not Renewed,35,51,POL89180514
AGT81808947,Pending,36,42,POL20175576
AGT42276971,Not Renewed,20,4,POL66446830
AGT45808449,Not Renewed,12,16,POL12305734
AGT03942017,Renewed,8,52,POL53425545
AGT76244275,Pending,22,49,POL78113526
AGT31182374,Not Renewed,48,39,POL90316205
AGT14574755,Not Renewed,29,76,POL82486686
AGT71114471,Not Renewed,2,55,POL39253825
AGT58963604,Pending,0,60,POL37660659
AGT88655926,Pending,0,20,POL67932010
AGT85582403,Pending,36,8,POL49350723
AGT87698345,Renewed,41,53,POL41015273
AGT06180053,Renewed,31,52,POL35985478
AGT08154549,Renewed,47,74,POL99061249
AGT86106687,Pending,33,33,POL53582347
AGT69961024,Not Renewed,36,76,POL04572453
AGT70703987,Not Renewed,9,60,POL87381995
AGT39692451,Not Renewed,14,53,POL65765097
AGT64433900,Not Renewed,29,37,POL97005943
AGT91238398,Not Renewed,24,44,POL85814059
AGT94726879,Not Renewed,0,96,POL70403090
AGT76546673,Renewed,15,42,POL42122048
AGT50695643,Renewed,38,35,POL21020862
AGT17277870,Pending,10,88,POL81937503
AGT42771894,Pending,12,88,POL62890808
AGT34122818,Pending,24,85,POL51973963
AGT64771614,Pending,23,15,POL47741439
AGT13542602,Pending,41,37,POL76701939
AGT00302874,Renewed,18,33,POL71958850
AGT62637408,Pending,37,30,POL03359385
AGT64151291,Renewed,5,33,POL31903736
AGT55418958,Renewed,36,51,POL58966996
AGT59533752,Not Renewed,8,3,POL13070623
AGT65322640,Not Renewed,41,83,POL05347013
AGT18291374,Renewed,15,3,POL92549260
AGT79693257,Pending,28,32,POL86602241
AGT34955635,Renewed,34,86,POL50804542
AGT07267300,Not Renewed,19,61,POL10635257
AGT09392561,Not Renewed,33,37,POL20115045
AGT78131307,Renewed,39,42,POL73588867
AGT77357572,Renewed,6,99,POL25196574
AGT76797964,Not Renewed,0,88,POL45549290
AGT72724732,Renewed,28,80,POL50830116
AGT33105228,Pending,31,53,POL51962418
AGT07985939,Renewed,34,88,POL93930819
AGT24833184,Renewed,12,21,POL48783282
AGT94871494,Pending,43,98,POL77439955
AGT98217410,Pending,39,79,POL61757675
AGT93505986,Not Renewed,7,52,POL77654130
AGT64941862,Not Renewed,25,80,POL70398119
AGT84309363,Pending,8,56,POL70310488
AGT33550742,Not Renewed,27,41,POL35480649
AGT89121022,Renewed,23,42,POL63615243
AGT01855976,Renewed,9,42,POL09014096
AGT56468822,Pending,15,53,POL82401042
AGT94967946,Not Renewed,39,78,POL43920577
AGT31701527,Pending,35,47,POL77188684
AGT00810065,Renewed,26,22,POL39450388
AGT14669790,Not Renewed,35,96,POL07109537
AGT61067481,Pending,35,35,POL19515945
AGT03722872,Pending,42,57,POL09146332
AGT92071441,Renewed,41,91,POL30313207
AGT54153423,Renewed,4,90,POL22465003
AGT70804556,Renewed,25,4,POL78018067
AGT12367147,Renewed,39,4,POL05468446
AGT75334101,Not Renewed,40,17,POL32493960
AGT34094598,Renewed,14,77,POL76101411
AGT46299459,Not Renewed,11,74,POL50589864
AGT11178675,Pending,19,94,POL31918611
AGT55439596,Not Renewed,16,99,POL21488909
AGT23787585,Not Renewed,36,27,POL05845525
AGT97590681,Renewed,40,80,POL95503927
AGT55391843,Not Renewed,50,77,POL68080704
AGT11710674,Not Renewed,21,67,POL92022218
AGT14413479,Not Renewed,48,37,POL79310767
AGT31793730,Not Renewed,1,24,POL66670427
AGT40176627,Not Renewed,39,96,POL70586146
AGT58872124,Not Renewed,15,33,POL91496475
AGT77064353,Not Renewed,46,4,POL61274835
AGT23539386,Pending,18,25,POL86234151
AGT51263695,Renewed,49,89,POL60096605
AGT02182452,Pending,43,3,POL68847136
AGT59767486,Pending,7,28,POL67256934
AGT96226967,Pending,25,50,POL65820287
AGT16665733,Pending,10,18,POL93117339
AGT77851784,Not Renewed,24,13,POL14706176
AGT08912816,Renewed,26,43,POL44229118
AGT44503789,Renewed,12,26,POL91532160
AGT95106448,Not Renewed,31,71,POL17634644
AGT27089944,Renewed,50,77,POL40092390
AGT07814678,Not Renewed,38,46,POL03596444
AGT44361981,Not Renewed,43,8,POL83335990
AGT08913730,Pending,32,78,POL62011769
AGT87632695,Not Renewed,13,97,POL56054127
AGT26499015,Not Renewed,20,1,POL34279255
AGT28918772,Pending,37,99,POL35733918
AGT36687186,Pending,14,3,POL82947020
AGT16892276,Not Renewed,30,60,POL14835880
AGT72044534,Not Renewed,30,24,POL84917275
AGT45166693,Pending,16,90,POL50465451
AGT62936747,Not Renewed,41,34,POL63433584
AGT61707672,Renewed,19,23,POL11950441
AGT65646400,Pending,28,71,POL99336458
AGT79405065,Not Renewed,8,4,POL56891224
AGT11062738,Not Renewed,26,68,POL35855900
AGT65796541,Renewed,44,88,POL40918381
AGT23134524,Pending,42,89,POL91751592
AGT00415170,Not Renewed,50,39,POL01655235
AGT23327928,Renewed,44,28,POL69912538
AGT00508512,Renewed,9,14,POL77983903
AGT06490141,Not Renewed,39,47,POL47755970
AGT44232479,Renewed,37,56,POL63646806
AGT06012403,Renewed,50,98,POL83969664
AGT67513990,Renewed,35,75,POL51974701
AGT62911171,Pending,9,90,POL12364849
AGT23764525,Not Renewed,37,99,POL89559053
AGT83654229,Renewed,44,40,POL04079645
AGT27816357,Not Renewed,45,52,POL59539217
AGT34205282,Pending,35,31,POL05422955
AGT51591780,Not Renewed,11,88,POL95032278
AGT67201203,Renewed,1,52,POL10231732
AGT53828323,Pending,46,11,POL42878655
AGT07240583,Renewed,0,68,POL20029148
AGT19514542,Pending,16,45,POL30144763
AGT41563030,Pending,42,12,POL43518284
AGT31484353,Pending,5,16,POL58245588
AGT89658446,Not Renewed,19,96,POL26021266
AGT68055130,Pending,3,96,POL20726693
AGT85014019,Not Renewed,12,99,POL57578050
AGT40742386,Renewed,30,90,POL40860073
AGT81436591,Not Renewed,37,57,POL53248656
AGT56323679,Renewed,10,51,POL94500784
AGT64069744,Pending,35,37,POL70863328
AGT09345111,Pending,45,86,POL53955100
AGT07645996,Renewed,5,50,POL83013724
AGT98031117,Pending,31,21,POL26961940
AGT79613208,Pending,38,38,POL21551791
AGT70741009,Pending,20,74,POL25617891
AGT30544800,Not Renewed,18,44,POL96709207
AGT71504423,Renewed,25,80,POL53111704
AGT75093896,Pending,7,88,POL37879847
AGT07824938,Not Renewed,42,39,POL32906837
AGT83763448,Pending,22,32,POL48302488
AGT66495472,Not Renewed,23,33,POL20699215
AGT56552672,Not Renewed,26,55,POL45984602
AGT15412915,Renewed,15,16,POL73703547
AGT75970650,Not Renewed,18,9,POL50805715
AGT47163328,Not Renewed,16,29,POL13559855
AGT11516690,Pending,46,84,POL54448931
AGT75996071,Not Renewed,23,29,POL50406144
AGT38382853,Not Renewed,17,43,POL80050705
AGT91217181,Renewed,17,93,POL99672508
AGT10447549,Renewed,9,92,POL29892884
AGT58552489,Renewed,16,77,POL71169830
AGT48810450,Renewed,13,50,POL06341687
AGT37801759,Not Renewed,14,5,POL30102239
AGT34748309,Renewed,28,93,POL64958007
AGT18161551,Pending,13,27,POL74375234
AGT75971090,Not Renewed,20,24,POL19188778
AGT21817908,Renewed,5,22,POL23066229
AGT44988899,Pending,43,45,POL92741100
AGT05779481,Renewed,13,81,POL80263334
AGT28828766,Renewed,44,49,POL11539302
AGT46828405,Pending,17,32,POL61616519
AGT86571956,Renewed,11,58,POL59779212
AGT87216429,Not Renewed,18,81,POL46435605
AGT11977071,Not Renewed,19,64,POL00076326
AGT92208446,Not Renewed,29,49,POL80491812
AGT91205446,Pending,44,41,POL71149711
AGT73116995,Not Renewed,12,94,POL44317279
AGT07329342,Renewed,4,51,POL60410061
AGT49977463,Renewed,44,95,POL71490424
AGT21500742,Pending,32,41,POL48116183
AGT33569735,Not Renewed,26,1,POL11366285
AGT99499187,Not Renewed,12,73,POL27312649
AGT93865628,Not Renewed,2,40,POL23616095
AGT82294030,Renewed,12,51,POL17842339
AGT94843303,Pending,35,32,POL31482176
AGT25453537,Not Renewed,32,9,POL93065434
AGT60101526,Pending,32,13,POL20797511
AGT05038364,Renewed,17,58,POL19022484
AGT28073266,Not Renewed,30,93,POL54437917
AGT41120227,Pending,20,48,POL79171752
AGT85658830,Not Renewed,21,97,POL77295889
AGT50872517,Renewed,26,28,POL28518330
AGT43614829,Pending,17,8,POL27667498
AGT43365564,Pending,0,46,POL74240303
AGT08272503,Pending,35,70,POL02642777
AGT03994448,Not Renewed,38,54,POL53266235
AGT48389700,Pending,42,57,POL89472328
AGT30765130,Not Renewed,17,59,POL72999115
AGT89814591,Not Renewed,43,61,POL22426524
AGT18594249,Not Renewed,50,79,POL77977275
AGT89642931,Not Renewed,1,79,POL36741877
AGT07793676,Not Renewed,14,80,POL81138188
AGT30761377,Pending,4,50,POL37789454
AGT82048742,Pending,27,7,POL26231753
AGT15515744,Renewed,36,78,POL72768482
AGT38652107,Pending,14,60,POL44711941
AGT95614477,Renewed,0,51,POL61600687
AGT65383645,Pending,9,63,POL40292999
AGT92468127,Not Renewed,25,60,POL18325532
AGT14000895,Pending,47,26,POL35135678
AGT74186962,Pending,34,31,POL84035014
AGT69814164,Pending,0,78,POL91245817
AGT02354571,Pending,29,9,POL25453349
AGT07142597,Not Renewed,4,28,POL79359714
AGT14241399,Renewed,7,20,POL28053301
AGT63177974,Not Renewed,43,7,POL83112617
AGT69238844,Pending,23,24,POL70257677
AGT07091417,Renewed,10,91,POL18727318
AGT13505033,Not Renewed,0,2,POL06351305
AGT21820119,Not Renewed,47,12,POL65755562
AGT39266885,Not Renewed,21,43,POL10423452
AGT26550887,Pending,49,43,POL01955713
AGT70599470,Pending,5,26,POL56961629
AGT91735732,Renewed,39,33,POL45153648
AGT24143324,Not Renewed,50,8,POL18028969
AGT55410018,Pending,32,82,POL91672539
AGT62578062,Not Renewed,37,23,POL28953016
AGT20323888,Pending,36,53,POL38988950
AGT58342090,Renewed,23,49,POL27507809
AGT55187719,Pending,23,61,POL00831253
AGT54362901,Pending,10,14,POL83671253
AGT83027420,Pending,5,76,POL27100819
AGT43786842,Pending,29,24,POL04601577
AGT97773558,Not Renewed,45,27,POL04910841
AGT81173622,Not Renewed,19,35,POL92491659
AGT20442049,Pending,48,10,POL30360159
AGT09855316,Not Renewed,29,7,POL01068804
AGT92063010,Pending,29,9,POL03033132
AGT29809757,Renewed,15,54,POL48255103
AGT20207459,Pending,7,34,POL94723645
AGT75590453,Pending,1,41,POL28172331
AGT96663442,Renewed,33,8,POL70866234
AGT55471388,Not Renewed,29,75,POL14684878
AGT77443040,Pending,4,34,POL94943347
AGT40491911,Not Renewed,34,70,POL31224830
AGT99933473,Not Renewed,16,96,POL33177916
AGT89416734,Renewed,46,3,POL14072112
AGT30576565,Pending,32,60,POL09462965
AGT27397676,Renewed,42,57,POL69777787
AGT29974315,Renewed,40,82,POL23581745
AGT02311403,Pending,49,32,POL21865118
AGT15408598,Not Renewed,27,69,POL79962283
AGT79371333,Pending,9,80,POL44992881
AGT11814318,Pending,32,81,POL51700588
AGT64806683,Renewed,8,11,POL75657317
AGT83948741,Not Renewed,11,23,POL51395924
AGT36722073,Renewed,6,100,POL75494464
AGT16180070,Pending,28,62,POL87711451
AGT43130399,Pending,39,14,POL66860672
AGT30968592,Pending,6,41,POL05225694
AGT35253662,Renewed,28,35,POL02258663
AGT31165624,Renewed,18,28,POL75098865
AGT06416909,Not Renewed,43,10,POL24582838
AGT21698382,Pending,48,36,POL77765185
AGT61758324,Renewed,3,92,POL75914495
AGT85371670,Not Renewed,22,92,POL23336703
AGT18100999,Not Renewed,35,37,POL82679187
AGT49009076,Pending,32,19,POL05037648
AGT29547199,Not Renewed,18,4,POL96221318
AGT58453617,Not Renewed,13,48,POL27915739
AGT10065682,Pending,2,9,POL98680765
AGT82792142,Not Renewed,13,27,POL71597887
AGT30216554,Not Renewed,39,20,POL71437971
AGT25986929,Renewed,19,10,POL77500354
AGT68876655,Renewed,3,79,POL76996418
AGT91428468,Not Renewed,16,21,POL37906683
AGT86092059,Renewed,22,52,POL45303866
AGT55426155,Renewed,41,13,POL60056200
AGT11781347,Not Renewed,3,36,POL85480742
AGT08375141,Not Renewed,23,61,POL11311249
AGT35694138,Pending,44,96,POL77958772
AGT51761655,Pending,17,96,POL05185447
AGT68645305,Renewed,11,38,POL18055024
AGT47187117,Renewed,0,32,POL11682509
AGT45146544,Not Renewed,48,16,POL87334776
AGT53938500,Not Renewed,22,59,POL60959014
AGT16849779,Renewed,44,16,POL07946398
AGT51585466,Renewed,26,78,POL85374430
AGT10183960,Not Renewed,10,37,POL76059961
AGT04317363,Pending,10,71,POL52778521
AGT40982629,Not Renewed,35,6,POL32646006
AGT56308472,Renewed,38,94,POL86718236
AGT13384424,Not Renewed,46,45,POL00862798
AGT76419960,Not Renewed,32,79,POL98618330
AGT77448089,Renewed,3,94,POL66992068
AGT69426026,Not Renewed,27,7,POL82970640
AGT18178442,Pending,36,94,POL25517652
AGT40000198,Renewed,41,61,POL06409803
AGT16573224,Renewed,2,4,POL88450754
AGT69955273,Not Renewed,39,6,POL51127842
AGT72710705,Pending,7,38,POL58793431
AGT14286748,Pending,31,28,POL84536532
AGT16498268,Not Renewed,29,69,POL46047482
AGT89205816,Pending,28,70,POL18422174
AGT10960372,Pending,34,99,POL65121827
AGT86766428,Not Renewed,1,20,POL30700700
AGT80166888,Pending,22,35,POL26217907
AGT67352734,Renewed,50,93,POL28359408
AGT96609345,Pending,5,48,POL39585916
AGT45376101,Pending,25,1,POL40288131
AGT08721596,Not Renewed,20,33,POL12588543
AGT58829613,Renewed,11,61,POL94299396
AGT20609453,Pending,30,99,POL01953510
AGT01755514,Pending,32,43,POL53180986
AGT88642752,Not Renewed,23,44,POL60529596
AGT42870459,Renewed,46,43,POL17699181
AGT60995113,Not Renewed,10,26,POL85518381
AGT75044830,Pending,44,85,POL00790731
AGT77160426,Pending,20,86,POL79308293
AGT70303785,Not Renewed,48,81,POL75583220
AGT52211491,Pending,13,38,POL93077983
AGT73870785,Renewed,29,35,POL41162519
AGT19540993,Renewed,14,78,POL21013410
AGT10269202,Not Renewed,22,25,POL73536906
AGT66193903,Renewed,41,38,POL80301647
AGT40327186,Renewed,3,49,POL79966692
AGT89542709,Renewed,45,57,POL14879776
AGT30765121,Not Renewed,32,10,POL58623707
AGT77793827,Pending,4,12,POL10386302
AGT39948651,Pending,0,25,POL56491969
AGT07490860,Not Renewed,48,95,POL99602250
AGT83076835,Renewed,40,9,POL01897492
AGT11234490,Not Renewed,37,22,POL03026921
AGT68648460,Renewed,46,97,POL36441789
AGT34930585,Renewed,32,40,POL21292296
AGT53048156,Not Renewed,19,39,POL38348666
AGT25696620,Renewed,46,17,POL58185281
AGT38103461,Renewed,30,50,POL82403986
AGT81224653,Pending,41,21,POL69345542
AGT22985672,Renewed,8,93,POL61565089
AGT68351380,Renewed,4,64,POL72131385
AGT06991321,Not Renewed,40,19,POL99575360
AGT16670057,Not Renewed,32,61,POL73764767
AGT64665927,Pending,21,47,POL15585087
AGT38431006,Pending,6,35,POL59775349
AGT09715608,Not Renewed,3,80,POL33945420
AGT34951947,Renewed,3,50,POL02432943
AGT17971375,Not Renewed,46,85,POL33232710
AGT06918363,Renewed,20,17,POL92258412
AGT47225197,Not Renewed,21,87,POL26888148
AGT32170586,Pending,48,40,POL94726413
AGT76343267,Pending,10,56,POL73854383
AGT70645262,Not Renewed,5,11,POL19911528
AGT96635757,Not Renewed,41,66,POL89952764
AGT34379979,Not Renewed,6,57,POL41639012
AGT81450492,Not Renewed,46,30,POL38343188
AGT49827067,Not Renewed,9,47,POL60365755
AGT13513566,Pending,34,7,POL72072111
AGT53043808,Not Renewed,8,21,POL69526791
AGT56661662,Renewed,45,44,POL75813186
AGT08845045,Renewed,28,20,POL54348718
AGT31445639,Renewed,4,43,POL01382311
AGT51549884,Renewed,18,1,POL91394495
AGT02876543,Renewed,2,8,POL27929198
AGT27940575,Renewed,18,66,POL96583337
AGT52580249,Not Renewed,46,21,POL42489589
AGT72111439,Not Renewed,38,88,POL62455700
AGT10089719,Pending,30,6,POL06553987
AGT72791493,Renewed,36,72,POL64197228
AGT37297514,Pending,7,51,POL23778009
AGT86653429,Not Renewed,2,78,POL89539607
AGT47730022,Pending,26,41,POL77225479
AGT23837758,Not Renewed,39,88,POL80674848
AGT24575955,Renewed,19,86,POL70742419
AGT86377383,Not Renewed,48,69,POL10130655
AGT90207975,Not Renewed,40,7,POL35832686
AGT93355318,Not Renewed,26,97,POL27597307
AGT23728239,Renewed,26,37,POL18801240
AGT71657679,Renewed,26,54,POL88077264
AGT10393590,Pending,48,88,POL28486225
AGT47479021,Renewed,36,99,POL51666989
AGT56435523,Renewed,45,57,POL84313861
AGT28458676,Renewed,39,33,POL95370014
AGT92230513,Pending,34,3,POL90934498
AGT53142267,Renewed,48,81,POL63879412
AGT81886985,Not Renewed,24,16,POL16556269
AGT82280300,Pending,3,50,POL79052116
AGT23359758,Not Renewed,39,37,POL42869985
AGT70183878,Pending,23,22,POL83165381
AGT57643810,Pending,5,25,POL55184793
AGT10328564,Renewed,15,1,POL58505380
AGT13023382,Not Renewed,43,82,POL05441250
AGT63554768,Not Renewed,1,79,POL01003100
AGT88342414,Renewed,46,38,POL90883106
AGT52725736,Not Renewed,21,78,POL24756615
